"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 02 06:58:03 CST 2020","Mon Nov 02 06:58:24 CST 2020","21248","","Authentication","","authentication_spec","","systemuser","Location - spec/test_feature_0/authentication_spec.rb:22"
"passed","Mon Nov 02 06:57:38 CST 2020","Mon Nov 02 06:58:03 CST 2020","25028","","Authentication","","authentication_spec","","login","Location - spec/test_feature_0/authentication_spec.rb:13"
